video_id,title,published_at,duration_seconds,view_count,like_count,comment_count,tags,description,thumbnail_url
I24F2tVUgTs,what did i just witness,2022-09-19T19:20:04Z,15,15108241,763836,6463,,,https://i.ytimg.com/vi/I24F2tVUgTs/maxresdefault.jpg
JUkEGAQOYrU,the tiktoker who hasn’t pooped in a month,2023-07-28T22:01:43Z,19,15101471,735786,10656,,,https://i.ytimg.com/vi/JUkEGAQOYrU/maxresdefault.jpg
WVfq3U1b8jY,fastest court case ever,2023-11-06T22:48:04Z,20,15026506,913226,5570,,,https://i.ytimg.com/vi/WVfq3U1b8jY/maxresdefault.jpg
feFN3MXEt6E,Fake MrBeast prank 😭,2025-05-29T21:19:42Z,32,14960031,523518,2794,,,https://i.ytimg.com/vi/feFN3MXEt6E/maxresdefault.jpg
jABWcZqmMC4,how much i make from youtube,2023-07-18T23:38:22Z,15,14769972,910496,5115,,,https://i.ytimg.com/vi/jABWcZqmMC4/maxresdefault.jpg
LGri3jgroSk,rating different gun emojis,2022-01-03T21:09:32Z,38,14746584,850210,72121,,,https://i.ytimg.com/vi/LGri3jgroSk/maxresdefault.jpg
SbApGyESu9A,craziest amazon review,2023-07-27T18:13:58Z,20,14694045,853682,3257,,,https://i.ytimg.com/vi/SbApGyESu9A/maxresdefault.jpg
SqYGP40AwQ8,the worst toilet ever,2022-08-18T18:06:49Z,23,14662920,709076,17716,,,https://i.ytimg.com/vi/SqYGP40AwQ8/maxresdefault.jpg
ZKu6gq_XoEU,extreme kite flying,2023-07-15T22:00:13Z,29,14531102,937625,10818,Shorts|Latest tiktok|TikTok|Best videos|YouTube shorts|Shorts on YouTube|Shorts beta|TikTok best|Shorts viral|Trending|For you|Viral|Viral videos|Explore|Popular videos|Compilation|#shorts|Short videos|Nice|Best|TikTok compilation|Arbys|h1t1,,https://i.ytimg.com/vi/ZKu6gq_XoEU/maxresdefault.jpg
NDu0n8e1aVY,MrBeast running for president?! 😭,2024-07-07T22:21:07Z,17,14524678,904933,8529,,,https://i.ytimg.com/vi/NDu0n8e1aVY/maxresdefault.jpg
VzqliDnaRaU,OH NO *fart* ORIGINAL #shorts,2021-04-22T21:31:42Z,10,14489169,802693,25175,Fart|Viral|Viral clip|Comedy|Funny,OH NO fart the original video!,https://i.ytimg.com/vi/VzqliDnaRaU/maxresdefault.jpg
mWK4n4-i7y4,news program fail,2023-07-04T16:01:27Z,19,14350000,856323,6755,,,https://i.ytimg.com/vi/mWK4n4-i7y4/maxresdefault.jpg
aaN-NKAOdN0,how is this possible,2022-11-12T17:28:19Z,24,14346987,813428,7092,,,https://i.ytimg.com/vi/aaN-NKAOdN0/maxresdefault.jpg
Ta4wPE9n7_M,THIS IS NO COINCIDENCE 😭,2024-08-27T16:53:56Z,17,14346094,829191,9813,,,https://i.ytimg.com/vi/Ta4wPE9n7_M/maxresdefault.jpg
F4l4uAfgTkE,you can get a job in roblox 😭,2024-06-19T16:46:26Z,17,14208493,913383,9244,,,https://i.ytimg.com/vi/F4l4uAfgTkE/maxresdefault.jpg
0cUQ0cojkEE,smartest restaurant ever,2023-09-17T02:52:40Z,28,14095753,731467,2213,,,https://i.ytimg.com/vi/0cUQ0cojkEE/maxresdefault.jpg
JS-o9qAIhlI,Insane unexpected reply 😭,2025-04-22T01:28:00Z,38,14081182,711507,5182,,,https://i.ytimg.com/vi/JS-o9qAIhlI/maxresdefault.jpg
1VYRKiH72C0,Insane Nintendo Switch Scam 😭,2025-04-25T23:50:46Z,42,14076227,546965,4388,,,https://i.ytimg.com/vi/1VYRKiH72C0/maxresdefault.jpg
jGy5AwX6BXo,making a mess for views,2023-09-11T02:06:45Z,18,13964477,861657,11899,,,https://i.ytimg.com/vi/jGy5AwX6BXo/maxresdefault.jpg
0ewcCxa5-yY,AI thumbnails are a problem,2023-10-09T00:29:22Z,19,13939410,843688,4006,,,https://i.ytimg.com/vi/0ewcCxa5-yY/maxresdefault.jpg
WH_F_9h1rgI,HORRIBLE restaurant name 😭,2025-05-09T02:55:46Z,37,13867196,529765,4168,,,https://i.ytimg.com/vi/WH_F_9h1rgI/maxresdefault.jpg
bskBTmMk4wg,insane gender reveal,2024-12-20T01:09:49Z,30,13763893,706394,3110,,,https://i.ytimg.com/vi/bskBTmMk4wg/maxresdefault.jpg
